z(m),N2,NH3,H2
1.000000e-10,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-10,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-10,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-10,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-10,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-10,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-10,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-10,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-10,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-10,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-10,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-10,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-10,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-10,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-10,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-10,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-10,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-10,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-10,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-10,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-09,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-09,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-09,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-09,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-09,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-09,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-09,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-09,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-09,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-09,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-09,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-09,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-09,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-09,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-09,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-09,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-09,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-09,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-09,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-09,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-08,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-08,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-08,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-08,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-08,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-08,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-08,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-08,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-08,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-08,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-08,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-08,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-08,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-08,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-08,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-08,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-08,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-07,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-07,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-07,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-07,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-07,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-07,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-07,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-07,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-07,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-07,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-07,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-07,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-07,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-07,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-07,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-07,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-07,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-07,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-07,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-07,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-06,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-06,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-06,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-06,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-06,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-06,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-06,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-06,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-06,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-06,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-06,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-06,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-06,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-06,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-06,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-06,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-06,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-06,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-06,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-05,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-05,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-05,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-05,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-05,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-05,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-05,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-05,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-05,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-05,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-05,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-05,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-05,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-05,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-05,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-05,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-05,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-05,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-04,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-04,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-04,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-04,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-04,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-04,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-04,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-04,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-04,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-04,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-04,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-04,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-04,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-04,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-04,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-04,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-04,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.450000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.900000e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.350000e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e-03,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-03,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.150000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.600000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.050000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.500000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.950000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.400000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.850000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.300000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.200000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.650000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.550000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00
